"DATO","NUMMER","TYPE","SPRAK","REGDATO","MODDATO","TITTEL","KORT","OVERSETTER","KODER","BIBSYS","URL","NOTE","INOTE","UTGAVE"
"1961-03-23 00:00:00.0","1","LOV","ENG","1998-04-28 13:33:40.0","1998-04-28 13:33:40.0","Act of 23 March 1961 relating to persons who have disappreared","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 851-855","NULL"
"1961-06-09 00:00:00.0","1","LOV","NULL","1998-04-28 13:33:40.0","1998-04-28 13:33:40.0","Lov om skytevåpen og ammunisjon m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1961-06-16 00:00:00.0","15","LOV","NULL","1998-04-28 13:33:41.0","1998-04-28 13:33:41.0","Lov om rettshøve mellom grannar","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1963-11-15 00:00:00.0","0","LOV","NULL","1998-04-28 00:00:00.0","1998-06-04 15:33:19.0","Lov om fullbyrding av nordiske dommer på straff m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2001-01-05 00:00:00.0","1","LOV","NULL","2005-02-08 13:23:44.0","2005-02-08 13:23:44.0","Lov om vaktvirksomhet","Vaktvirksomhetsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1962-06-22 00:00:00.0","8","LOV","NULL","1998-04-28 00:00:00.0","2005-02-25 13:54:35.0","Lov om Stortingets ombudsmann for forvaltningen","Sivilombudsmannsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1974-02-22 00:00:00.0","9","LOV","ENG","1998-04-28 13:33:51.0","1998-04-28 13:33:51.0","Act of 22 February 1974 relating to the enforcement of european penal sentences etc.","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 730-731","NULL"
"2003-05-09 00:00:00.0","31","LOV","NULL","2005-03-08 13:20:57.0","2005-03-08 13:20:57.0","Lov om rett til miljøinformasjon og deltakelse i offentlige beslutningsprosesser av betydning for miljøet","Miljøinformasjonsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1973-02-09 00:00:00.0","6","LOV","NULL","1998-05-20 14:34:45.0","1998-05-20 14:34:45.0","Lov om transplantasjon, sykehusobduksjon og avgivelse av lik m.m.","Transplantasjonsloven - transpll.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1973-02-09 00:00:00.0","6","LOV","ENG","1998-05-20 14:40:20.0","1998-05-20 14:40:20.0","Act relating to transplantation, hospital autopsies and the donation of bodies etc.","NULL","NULL","NULL","NULL","lov-19730209-006-eng.pdf","NULL","NULL","NULL"
"1963-06-21 00:00:00.0","17","LOV","NULL","1998-04-28 00:00:00.0","2005-03-14 08:47:12.0","Lov om drift av apotek m.v.","Apotekloven","NULL","NULL","NULL","NULL","Opphevet ved lov-1998-07-17-56","NULL","NULL"
"1973-12-14 00:00:00.0","61","LOV","NULL","1998-04-28 00:00:00.0","1998-05-20 14:54:48.0","Lov om statsgaranti for lønnskrav ved konkurs m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1985-06-21 00:00:00.0","78","LOV","NULL","2005-05-27 14:10:29.0","2005-05-27 14:10:29.0","Lov om registrering av foretak","Foretaksregisterloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1987-12-18 00:00:00.0","984","FORSKRIFT","NULL","2005-05-27 14:21:52.0","2005-05-27 14:21:52.0","Forskrift for registrering av foretak","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1987-12-18 00:00:00.0","984","FORSKRIFT","ENG","2005-05-27 14:24:08.0","2005-05-27 14:24:08.0","Regulation concerning registrering business enterprises","NULL","The Brønnøysund Register Centre","NULL","NULL","http://www.brreg.no/english/acts/foretaksforskr.html","NULL","NULL","Latest amendments: 22nd December 1995"
"1971-06-18 00:00:00.0","90","LOV","NULL","1998-05-20 13:49:32.0","1998-05-20 13:49:32.0","Lov om mønstring av arbeidstakere på skip m.v.","Mønstringsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1972-03-03 00:00:00.0","5","LOV","NULL","1998-04-28 00:00:00.0","1998-05-20 13:59:34.0","Lov om arv m.m.","Arvelova - al.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1972-03-03 00:00:00.0","5","LOV","ENG","1998-04-28 00:00:00.0","1998-05-20 14:05:44.0","Act relating to inheritance, etc.","The Inheritance Act","NULL","NULL","NULL","lov-19720303-005-eng.pdf","NULL","Norwegian laws s. 826-837","NULL"
"1976-12-17 00:00:00.0","100","LOV","NULL","1998-04-28 00:00:00.0","1998-05-19 13:00:42.0","Lov om renter ved forsinket betaling m.m.","Forsinkelsesrenteloven - rentel.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1978-06-09 00:00:00.0","48","LOV","NULL","1998-04-28 00:00:00.0","1998-05-06 12:25:50.0","Lov om personregistre m.m.","Personregisterloven - pregl.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1951-12-14 00:00:00.0","3","LOV","LAP","2008-08-14 14:44:21.0","2008-08-14 14:44:21.0","Láhkanjuoskaguliid gávppaseami","NULL","NULL","NULL","NULL","http://www.regjeringen.no/se/dok/lagat-ja-njuolggadusat-/Lover/lahka-njuoskaguliid-gavppaeami-birra.html?id=516850&epslanguage=NO-SE","NULL","NULL","NULL"
"1999-03-26 00:00:00.0","15","LOV","NULL","2008-08-14 15:02:12.0","2008-08-14 15:02:12.0","Lov om retten til å delta i fiske og fangst","Deltakerloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1999-03-26 00:00:00.0","15","LOV","LAP","2008-08-14 15:03:23.0","2008-08-14 15:03:23.0","Láhka guolástan- ja bivdinvuoigatvuoda birra","Oassálastinláhka","NULL","NULL","NULL","http://www.regjeringen.no/se/dok/lagat-ja-njuolggadusat-/Lover/oassalastinlahka.html?id=516852&epslanguage=NO-SE","NULL","NULL","NULL"
"1987-06-12 00:00:00.0","56","LOV","LAP","2004-04-22 00:00:00.0","2008-08-14 15:07:56.0","Sámedikki ja eará sámi vuoigatvuoðaid birra","Sámeláhka","NULL","NULL","NULL","http://www.regjeringen.no/se/dok/lagat-ja-njuolggadusat-/Lover/lahka-geassemanu-12-b-1987-nr-56-samedik.html?id=449701&epslanguage=NO-SE","NULL","NULL","NULL"
"1970-06-19 00:00:00.0","69","LOV","LAP","2004-04-22 00:00:00.0","2008-08-14 15:12:10.0","Láhka geassemánu 19. b. 1970 almmolavuoða birra hálddaeamis","Almmolavuoðaláhka","NULL","NULL","NULL","http://www.regjeringen.no/se/dok/lagat-ja-njuolggadusat-/Lover/almmolavuoalahka.html?id=446951&epslanguage=NO-SE","NULL","NULL","NULL"
"1975-06-13 00:00:00.0","39","LOV","NULL","1998-04-28 00:00:00.0","1998-05-19 12:30:35.0","Lov om utlevering av lovbrytere m.v.","Utleveringsloven - utlevl.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1985-06-21 00:00:00.0","82","LOV","NULL","1998-04-28 00:00:00.0","1998-05-05 12:52:17.0","Lov om kredittkjøp m.m.","Kredittkjøploven - krkjl.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1977-06-03 00:00:00.0","50","LOV","ENG","1998-04-28 00:00:00.0","1998-05-06 12:12:27.0","Excerpts from the Norwegian ship control legislation","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 457-463","NULL"
"1988-07-08 00:00:00.0","72","LOV","NULL","2008-10-20 13:10:47.0","2008-10-20 13:10:47.0","Lov om anerkjennelse og fullbyrdelse av utenlandske avgjørelser om foreldreansvar m.v. og om tilbakelevering av barn","Barnebortføringsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1989-06-16 00:00:00.0","59","LOV","NULL","1998-04-28 00:00:00.0","1998-05-05 10:56:20.0","Lov om lostjenesten m.v.","Losloven - losl.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2005-04-01 00:00:00.0","15","LOV","ENG","2008-11-18 10:26:02.0","2008-11-18 10:26:02.0","Act relating to universities and university colleges","NULL","Ministry of Foreign Affairs","NULL","NULL","lov-20050401-015-eng.pdf","NULL","NULL","NULL"
"2005-04-01 00:00:00.0","15","LOV","NULL","2008-11-18 00:00:00.0","2008-11-20 15:56:37.0","Lov om universiteter og høyskoler","Universitetsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1985-06-21 00:00:00.0","78","LOV","ENG","2005-05-27 00:00:00.0","2008-11-21 11:17:30.0","The Business Enterprise Registration Act","NULL","The Brønnøysund Register Centre","NULL","NULL","http://www.brreg.no/english/acts/foretaksregisterlov.html","NULL","NULL","Updated by  Act-2003-12-19-120"
"1961-05-12 00:00:00.0","2","LOV","NULL","1998-04-28 00:00:00.0","1998-04-28 15:13:40.0","Lov om opphavsrett til åndsverk","Åndsverkloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1930-02-21 00:00:00.0","0","LOV","NULL","1998-04-28 00:00:00.0","1998-04-29 14:24:34.0","Lov om skifte","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1992-05-15 00:00:00.0","47","LOV","NULL","1998-04-28 00:00:00.0","1998-05-04 11:33:09.0","Lov om laksefisk og innlandsfisk m.v.","Lakse- og innlandsfiskloven - laksfl.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1991-12-13 00:00:00.0","81","LOV","NULL","1998-04-28 00:00:00.0","1998-05-04 11:35:53.0","Lov om sosiale tjenester m.v.","Sosialtjenesteloven - sotjl.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2013-06-21 00:00:00.0","732","FORSKRIFT","ENG","2016-01-13 15:36:52.0","2016-01-13 15:36:52.0","Regulation for universal design of information and communication technology (ICT) solutions","NULL","Ministry of Local Government and Modernisation","NULL","NULL","https://www.regjeringen.no/en/dokumenter/regulation-universal-design-ict/id731520/","NULL","NULL","NULL"
"1998-07-17 00:00:00.0","61","LOV","ENG","1999-03-17 00:00:00.0","2016-01-20 14:45:08.0","Act relating to primary and secondary education","Education Act","NULL","NULL","NULL","https://www.regjeringen.no/en/dokumenter/education-act/id213315/","NULL","NULL","With amendments in force as of 19 December 2008. In force as of 1 January  2009"
"2015-05-22 00:00:00.0","33","LOV","NULL","2016-01-28 09:44:23.0","2016-01-28 09:44:23.0","Lov om Norges nasjonale institusjon for menneskerettigheter","Lov om Nasjonal institusjon","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2015-05-22 00:00:00.0","33","LOV","ENG","2016-01-28 09:48:31.0","2016-01-28 09:48:31.0","Act relating to the Norwegian National Human Rights Institution","NULL","NULL","NULL","NULL","http://www.nhri.no/getfile.php/Dokumenter/om%20NIM/NIM%20Lovtekst%20%28engelsk%29.pdf","NULL","NULL","NULL"
"1983-03-04 00:00:00.0","3","LOV","NULL","1998-04-28 00:00:00.0","1998-05-05 13:08:04.0","Lov om statens tjenestemenn m.m.","Tjenestemannsloven - tjml.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1983-06-03 00:00:00.0","40","LOV","NULL","1998-04-28 00:00:00.0","1998-05-05 13:17:13.0","Lov om saltvannsfiske m.v.","Saltvannsfiskeloven - saltvfl.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1984-06-08 00:00:00.0","51","LOV","NULL","1998-04-28 00:00:00.0","1998-05-05 13:22:01.0","Lov om havner og farvann m.v.","Havne- og farvannsloven - havnl.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1981-12-18 00:00:00.0","90","LOV","NULL","1998-04-28 00:00:00.0","1998-05-06 11:43:22.0","Lov om merking av forbruksvarer m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1974-02-22 00:00:00.0","9","LOV","NULL","1998-04-28 00:00:00.0","1998-06-04 13:10:25.0","Lov om europeiske straffedommer m.m.","NULL","NULL","NULL","NULL","NULL","Opphevet","NULL","NULL"
"1927-05-20 00:00:00.0","1","LOV","ENG","1998-04-28 00:00:00.0","2004-05-13 14:37:11.0","Act of 20 May 1927 relating to property relationship between spouses","NULL","NULL","NULL","NULL","NULL","Annulled by Act 1991-07-04-47","Norwegian laws s. 776-782","NULL"
"1927-05-20 00:00:00.0","1","LOV","NULL","1998-04-28 00:00:00.0","2004-05-13 14:35:47.0","Lov om ektefellers formuesforhold","NULL","NULL","NULL","NULL","NULL","Opphevet ved lov-1991-07-04-47","NULL","NULL"
"1893-07-20 00:00:00.0","1","LOV","NULL","1998-04-28 00:00:00.0","2004-05-13 14:40:25.0","Lov om sjøfarten","NULL","NULL","NULL","NULL","NULL","Opphevet ved lov-1994-06-24-39","NULL","NULL"
"1893-07-20 00:00:00.0","1","LOV","ENG","1998-04-28 00:00:00.0","2004-05-13 14:41:13.0","The maritime act","NULL","NULL","NULL","NULL","NULL","Annulled by Act 1994-06-24-39","Regler for flyttbare innretninger","NULL"
"1928-06-22 00:00:00.0","27","LOV","NULL","1998-08-05 00:00:00.0","2004-05-13 14:44:33.0","Lov om landets kornforsyning","Kornforsyningsloven","NULL","NULL","NULL","NULL","Opphevet ved lov-1994-12-23-78","NULL","NULL"
"2007-02-16 00:00:00.0","9","LOV","ENG","2009-02-02 00:00:00.0","2016-02-24 15:15:20.0","Act of 16 February 2007 No. 9 relating to ship safety and security","Ship Safety and Security Act","NULL","NULL","NULL","https://www.sjofartsdir.no/en/legislation/laws/act-of-16-february-2007-no-9-relating-to-ship-safety-and-security/","Last amended by Act of 9 May 2014 No. 16","NULL","NULL"
"2009-03-13 00:00:00.0","302","FORSKRIFT","NULL","2009-09-03 00:00:00.0","2018-02-23 13:19:51.0","Forskrift om tiltak mot hvitvasking og terrorfinansiering mv.","Hvitvaskingsforskriften","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1982-12-17 00:00:00.0","84","LOV","ENG","1998-04-28 00:00:00.0","2016-02-24 15:21:22.0","Act of 17 December 1982 No. 84 relating to safe containers","NULL","NULL","NULL","NULL","https://www.sjofartsdir.no/en/legislation/laws/act-of-17-december-1982-no-84-relating-to-safe-containers/","NULL","NULL","NULL"
"1936-06-19 00:00:00.0","9","LOV","NULL","1998-04-28 00:00:00.0","2004-05-13 14:51:54.0","Lov om innskrenkning i adgangen for den som ikke er helsepersonell til å ta syke i kur","Kvaksalverloven","NULL","NULL","NULL","NULL","Tidligere tittel: Lov om innskrenkning i adgangen for den som ikke er norsk læge eller tannlæge, til å ta syke i kur","NULL","NULL"
"1938-06-18 00:00:00.0","1","LOV","ENG","1998-04-28 00:00:00.0","2004-05-13 14:55:42.0","Act no. 1 of 18th June 1938 concerning the use of x-rays and radium","NULL","NULL","NULL","NULL","NULL","Annulled by Act 2000-05-12-36","NULL","NULL"
"2000-12-15 00:00:00.0","1265","FORSKRIFT","NULL","2004-05-26 14:28:07.0","2004-05-26 14:28:07.0","Forskrift om behandling av personopplysninger","Personopplysningsforskriften","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2009-03-13 00:00:00.0","302","FORSKRIFT","ENG","2009-09-03 00:00:00.0","2018-02-23 13:21:06.0","Regulations concerning measures to combat money laundering and the financing of terrorism, etc.","NULL","NULL","NULL","NULL","https://www.finanstilsynet.no/globalassets/laws-and-regulations/regulations/money-laundering-regulations-2009.pdf","NULL","NULL","Translation as of April 2009"
"2009-03-06 00:00:00.0","11","LOV","NULL","2018-02-23 13:03:42.0","2018-02-23 13:03:42.0","Lov om tiltak mot hvitvasking og terrorfinansiering mv.","Hvitvaskingsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2009-03-06 00:00:00.0","11","LOV","ENG","2018-02-23 13:05:15.0","2018-02-23 13:05:15.0","Act relating to measures to combat money laundering and the financing of terrorism, etc.","Money Laundering Act","NULL","NULL","NULL","https://www.finanstilsynet.no/globalassets/laws-and-regulations/laws/money-laundering-act-2009.pdf","NULL","NULL","Translation as of April 2009"
"1998-11-30 00:00:00.0","1102","FORSKRIFT","ENG","2005-06-14 00:00:00.0","2018-02-23 13:29:16.0","Regulations concerning exchange of information with supervisory authorities from countries within and outside the EEA area","NULL","NULL","NULL","NULL","https://www.finanstilsynet.no/globalassets/laws-and-regulations/regulations/regulations-exchange-information.pdf","NULL","NULL","Translation updated July 2004"
"1993-12-28 00:00:00.0","1257","FORSKRIFT","NULL","2005-06-14 00:00:00.0","2018-02-23 13:31:41.0","Forskrift om tilsyn med finansforetak og forvaltningsselskap som har hovedsete i annen EØS-stat og som driver virksomhet i Norge mv.","Forskrift om finanstilsyn i EØS","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1903-06-09 00:00:00.0","7","LOV","NULL","1998-04-28 00:00:00.0","1998-10-27 14:57:04.0","Lov om Statskontrol med Skibes Sjødygtighed m.v.","Sjødygtighedsloven - sjødl.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1987-12-18 00:00:00.0","93","LOV","ENG","1998-04-28 00:00:00.0","2018-04-13 12:18:26.0","Act relating to Control of the Export of Strategic Goods, Services, Technology, etc.","The Export Control Act","NULL","NULL","NULL","https://lovdata.no/dokument/NLE/lov/1987-12-18-93","NULL","NULL","NULL"
"1993-12-28 00:00:00.0","1257","FORSKRIFT","ENG","2005-06-14 00:00:00.0","2018-02-23 13:33:40.0","Regulations on supervision of financial institutions and management companies whose head office is in another EEA state and which carry on business in Norway etc","NULL","NULL","NULL","NULL","https://www.finanstilsynet.no/globalassets/laws-and-regulations/regulations/regulations-supervision-financial-institutions.pdf","NULL","NULL","Translation updated March 2009"
"2009-03-13 00:00:00.0","303","FORSKRIFT","ENG","2009-09-03 00:00:00.0","2018-02-23 13:36:33.0","Regulations concerning the Supervisory Board for Measures to Combat the Laundering of the Proceeds of Crime","NULL","NULL","NULL","NULL","https://www.finanstilsynet.no/globalassets/laws-and-regulations/regulations/supervisory-board-regulations-money-laundering-2009.pdf","NULL","NULL","Translation as of April 2009"
"1979-05-18 00:00:00.0","18","LOV","ENG","1998-04-28 00:00:00.0","2004-05-28 10:22:30.0","Act relating to the limitation period for claims","NULL","NULL","NULL","NULL","lov-19790518-018-eng.pdf","NULL","NULL","NULL"
"1988-04-29 00:00:00.0","21","LOV","ENG","1998-04-28 00:00:00.0","2018-04-13 12:16:26.0","Act relating to Holidays","The Holidays Act","NULL","NULL","NULL","https://lovdata.no/dokument/NLE/lov/1988-04-29-21","NULL","NULL","NULL"
"1741-02-17 00:00:00.0","0","LOV","ENG","1998-04-28 00:00:00.0","2018-04-13 12:31:48.0","Act of February 1741 prohibiting the flying on merchant ships of the Royal Pennant of the Royal Jack with swallow-tail and tongue","NULL","NULL","NULL","NULL","https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060","NULL","Norwegian laws s. 27","NULL"
"1741-02-17 00:00:00.0","0","LOV","NULL","1998-04-28 00:00:00.0","2018-04-13 12:31:25.0","Forbud paa Vimpel-Føring","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1991-11-29 00:00:00.0","78","LOV","NULL","1999-01-18 09:24:35.0","1999-01-18 09:24:35.0","Lov om Statens Bankinvesteringsfond","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2001-02-02 00:00:00.0","144","FORSKRIFT","NULL","2004-08-04 10:26:09.0","2004-08-04 10:26:09.0","Forskrift om kommunale og fylkeskommunale garantier","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1997-01-22 00:00:00.0","33","FORSKRIFT","NULL","2004-09-28 13:00:58.0","2004-09-28 13:00:58.0","Forskrift om krav til byggverk og produkter til byggverk (TEK)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1997-01-22 00:00:00.0","33","FORSKRIFT","LAP","2004-09-28 13:03:20.0","2004-09-28 13:03:20.0","Teknalas láhkaásahusat","NULL","Gieldda- ja bargodepartemeanta","NULL","NULL","for-19970122-0033-eng.pdf","NULL","NULL","NULL"
"2000-12-01 00:00:00.0","1208","FORSKRIFT","NULL","2004-10-06 09:13:28.0","2004-10-06 09:13:28.0","Forskrift om prioritering av helsetjenester, rett til nødvendig helsehjelp fra  spesialisthelsetjenesten, rett til behandling i utlandet og om dispensasjons- og klagenemnd","Forskrift om prioritering av helsetjenester mv.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2000-12-21 00:00:00.0","1385","FORSKRIFT","NULL","2004-10-06 09:04:27.0","2004-10-06 09:04:27.0","Forskrift om pasientjournal","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2000-12-21 00:00:00.0","1385","FORSKRIFT","LAP","2004-10-06 09:10:21.0","2004-10-06 09:10:21.0","Divssohasjournála láhkaásahus","NULL","Sosial- og helsedirektoratet","NULL","NULL","for-20001221-1385-lap.pdf","NULL","NULL","NULL"
"1999-07-02 00:00:00.0","63","LOV","LAP","2004-10-05 00:00:00.0","2004-10-06 09:11:50.0","Láhka divssohasvuoigatvuodaid birra","Divssohasvuoigatvuodaláhka","Sosial- og helsedirektoratet","NULL","NULL","lov-19990702-063-lap.pdf","NULL","NULL","NULL"
"2000-12-01 00:00:00.0","1208","FORSKRIFT","LAP","2004-10-06 09:16:58.0","2004-10-06 09:16:58.0","Láhkaásahus dearvvasvuodabálvalusaid vuoruheami birra ja vuoigatvuoda birra dearvvasvuodaveahkkái","NULL","Sosial- og helsedirektoratet","NULL","NULL","for-20001201-1208-lap.pdf","NULL","NULL","NULL"
"1969-06-13 00:00:00.0","25","LOV","NULL","2000-03-17 11:21:18.0","2000-03-17 11:21:18.0","Lov om trudomssamfunn og ymist anna","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1981-06-12 00:00:00.0","64","LOV","NULL","2000-03-17 11:35:37.0","2000-03-17 11:35:37.0","Lov om tilskott til livssynssamfunn","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1992-12-16 00:00:00.0","1243","FORSKRIFT","NULL","2011-03-24 13:31:55.0","2011-03-24 13:31:55.0","Forskrift om fylkesmannens adgang til å ilegge kommuner og fylkeskommuner mulkt ved oversittelse av fristene i barnevernloven § 6-9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1985-12-20 00:00:00.0","108","LOV","ENG","1998-05-05 00:00:00.0","2015-06-17 08:03:39.0","Act relating to public libraries","NULL","Ministry of Foreign Affairs","NULL","NULL","http://www.nb.no/content/download/8330/82005/file/4297-EN-%20nasjonalbiblioteket.pdf","NULL","NULL","NULL"
"1992-12-21 00:00:00.0","1246","FORSKRIFT","ENG","2002-01-02 00:00:00.0","2011-03-24 13:36:48.0","Regulations concerning the right of the child welfare service to demand contributions from the child to cover the costs of his or her stay","NULL","Ministry of Children and Family Affairs","NULL","NULL","http://www.regjeringen.no/en/dep/bld/Documents/Laws-and-rules/Regulations/2001/regulations-related-to-the-child-welfare/5.html?id=420556","NULL","NULL","NULL"
"2003-06-06 00:00:00.0","39","LOV","ENG","2008-08-13 00:00:00.0","2015-07-08 12:56:54.0","Act relating to housing cooperatives","The Housing Cooperatives Act","Ministry of Local Government and Modernisation","NULL","NULL","https://www.regjeringen.no/en/dokumenter/the-housing-cooperatives-act/id439595/","NULL","NULL","NULL"
"2010-09-03 00:00:00.0","56","LOV","NULL","2015-09-02 11:17:12.0","2015-09-02 11:17:12.0","Lov om infrastruktur for geografisk informasjon","Geodataloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2001-06-15 00:00:00.0","93","LOV","NULL","2014-01-16 00:00:00.0","2015-09-04 14:32:29.0","Lov om helseforetak m.m.","Helseforetaksloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1992-11-27 00:00:00.0","117","LOV","NULL","2000-04-04 15:13:56.0","2000-04-04 15:13:56.0","Lov om offentlig støtte","Lov om offentlig støtte","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1933-05-19 00:00:00.0","11","LOV","NULL","2000-06-28 00:00:00.0","2000-06-28 14:15:02.0","Lov om særavgifter (før: lov om omsetningsavgift)","Særavgiftsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2016-07-07 00:00:00.0","904","FORSKRIFT","NULL","2018-04-18 09:56:20.0","2018-04-18 09:56:20.0","Forskrift om dokumentasjon, saksbehandling og erstatning etter naturskader","Naturskadeerstatningsforskriften","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1991-10-18 00:00:00.0","671","FORSKRIFT","NULL","2004-11-22 16:21:09.0","2004-11-22 16:21:09.0","Forskrift om turisme og annen reisevirksomhet på Svalbard","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1991-05-10 00:00:00.0","301","FORSKRIFT","NULL","2004-11-22 16:24:51.0","2004-11-22 16:24:51.0","Forskrift om forsikringstekniske avsetninger og risikostatistikk i skadeforsikring","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1967-06-16 00:00:00.0","3","LOV","NULL","2004-11-23 14:38:05.0","2004-11-23 14:38:05.0","Lov om fullmakt til Kongen til å forby redere å gi opplysninger m.m. til utenlandske myndigheter","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1967-06-16 00:00:00.0","3","LOV","ENG","2004-11-23 14:39:35.0","2004-11-23 14:39:35.0","Act authorizing the King-in-Council to prohibit shipowners to transmit information etc. to authorities of foreign countries","NULL","NULL","NULL","NULL","lov-19670616-003-eng.pdf","NULL","NULL","NULL"
"1953-07-17 00:00:00.0","9","LOV","GER","2004-11-23 14:56:33.0","2004-11-23 14:56:33.0","Das norwegische Zivilschutzgesetz","NULL","NULL","NULL","NULL","lov-19530717-009-ger.pdf","NULL","NULL","Mit Änderungen vom 12. Juni 1956"
"1961-02-03 00:00:00.0","0","LOV","NULL","2004-11-23 14:49:06.0","2004-11-23 14:49:06.0","Lov om ansvar for skade som motorvogner gjer","Bilansvarsloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1946-10-31 00:00:00.0","2","LOV","NULL","1998-04-28 00:00:00.0","2004-11-23 14:57:56.0","Lov om mål og vekt","Mål- og vektloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1964-10-30 00:00:00.0","1","FORSKRIFT","NULL","2000-08-29 10:47:57.0","2000-08-29 10:47:57.0","Delegering etter lov om tiltak mot plantesjukdommar og skadedyr på planter (plantesjukdomslova)","Delegering etter plantesjukdomslova","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1946-10-31 00:00:00.0","2","LOV","FRE","2004-11-23 14:58:55.0","2004-11-23 14:58:55.0","Loi sur les poids et mesures","NULL","NULL","NULL","NULL","lov-19461031-002-fre.pdf","NULL","NULL","NULL"
"1964-10-30 00:00:00.0","1","FORSKRIFT","ENG","2000-08-29 00:00:00.0","2000-08-29 10:56:39.0","Regulations for the Import of Plants and Parts thereof, etc., to Norway","NULL","NULL","NULL","NULL","for-19641030-0001-eng.pdf","NULL","NULL","NULL"
"1989-03-10 00:00:00.0","157","FORSKRIFT","NULL","2000-09-04 09:56:49.0","2000-09-04 09:56:49.0","Forskrift for utførsel av tungtvann","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1989-03-10 00:00:00.0","157","FORSKRIFT","ENG","2000-09-04 10:02:34.0","2000-09-04 10:02:34.0","Regulations relating to the export of heavy water","NULL","NULL","NULL","NULL","for-19890310-0157-eng.html","NULL","NULL","With amendments of 28th February 1992"
"1990-12-21 00:00:00.0","1028","FORSKRIFT","NULL","2000-09-04 10:29:43.0","2000-09-04 10:29:43.0","Forskrift om utlendingers adgang til riket og deres opphold her","Utlendingsforskriften","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
